Cavité : reseau de la combe aux puaires
Nom du fichier : E:\Speleo\Samoens\2017-06_Samoens\Combe-Puaires\zone-CP\Reseau-CP\old\reseauCP2017.cav
Date de calcul des données : 27/10/2017
Date du dernier relevé topo effectué : 23/02/1900
Nom Galerie	Galerie de rattachement	Point de rattach	1er point	dernier point	Nombre de points	point le plus haut	Z plus haut	point le plus bas	Z plus bas	dénivellée	longueur
Galerie d'entrée	Surface	CP16	CP16.11	CP16.1	13	CP16'	2133.8      	CP16.0	2091.0	42.8	87.9	51.9
Galerie n° 1	Galerie d'entrée	CP16.6	CP16.25	CP16.2.12'	28	CP16.24	2116.2      	CP16.2.12'	2011.8	104.4	185.3	68.1
Galerie n° 2	Galerie n° 1	CP16.2.12'	CP16.2.13	CP16.2.18	6	CP16.2.14	2002.0      	CP16.2.18	1988.8	13.3	30.6	6.5
Galerie n° 3	Galerie n° 1	CP16.2.12'	CP16.3.7	20.76'	84	CP16.3.7	2011.8      	20.76'	1871.2	140.7	525.0	455.2
Galerie n° 53	Galerie n° 3	CP16.3.3	XR07-19	XR07-16	7	XR07-19	1997.6      	XR07-15	1986.5	11.1	29.5	18.2
Galerie n° 54	Galerie n° 53	XR07-13	XR07-10	XR07-11	3	XRO7-12	1992.6      	XR07-11	1964.1	28.5	36.3	20.7
Galerie n° 43	Galerie n° 3	20.13	XR07-9	XR07-1	10	XR07-1	2077.4      	XR07-7	1985.0	92.4	108.6	23.5
Galerie n° 10	Galerie n° 3	20.13	20.12	20.01	12	20.10	2020.6      	20.01	1967.2	53.4	103.7	40.7
Galerie n° 9	Galerie n° 10	20.01	11.25	29.1	19	11.26	1962.4      	11.35	1940.5	21.9	158.7	139.4
Galerie n° 11	Galerie n° 9	11.35	12.7	12.0	8	12.0	1950.5      	12.7	1938.6	11.9	70.3	68.4
Galerie n° 32	Galerie n° 11	12.7	11.37	11.38	2	11.37	1933.5      	11.38	1921.0	12.5	24.8	15.2
Galerie n° 13	Galerie n° 32	11.38	9.14	12.9	46	12.7	1938.6      	16.30	1849.4	89.2	589.1	457.2
Galerie n° 17	Galerie n° 13	9.14	9.13	1.33	49	9.13	1914.3      	1.27	1771.3	143.0	679.9	629.1
Galerie n° 31	Galerie n° 17	9.10	10.1	10.10	11	10.5	1893.5      	10.10	1871.5	22.0	149.5	140.0
Galerie n° 18	Galerie n° 17	1.10	4.1	4.21	21	4.21	1856.3      	4.3	1822.3	34.0	133.2	125.1
Galerie n° 29	Galerie n° 18	4.13	5.1	5.5	5	5.1	1839.9      	5.5	1824.5	15.4	32.6	27.0
Galerie n° 19	Galerie n° 17	1.15	8.13	8.0	14	8.9	1807.4      	8.0	1776.3	31.1	62.2	30.6
Galerie n° 20	Galerie n° 17	1.19	A.54	CP12	55	CP12	2030.1      	A.53	1812.5	217.6	381.7	189.9
Galerie n° 22	Galerie n° 20	A.54	7.1	7.13	14	7.8	1853.0      	1.24	1780.7	72.3	203.2	119.7
Galerie n° 21	Galerie n° 20	A.2	F.1	F.20	20	F.1	2022.0      	F.20	1933.6	88.4	137.5	58.6
Galerie n° 24	Galerie n° 17	1.24	3.1	3.2	2	3.1	1776.9      	3.2	1775.0	1.9	11.0	8.8
Galerie n° 25	Galerie n° 17	1.24	7.16	7.17	2	7.16	1782.7      	7.17	1775.8	6.9	18.9	16.6
Galerie n° 26	Galerie n° 17	1.24	7.18	7.19	2	7.18	1778.3      	7.19	1774.4	3.9	15.1	13.8
Galerie n° 23	Galerie n° 17	1.24	2.1	2.2	2	2.2	1788.1      	2.1	1783.3	4.9	13.9	11.0
